cluster,track_id,name,artist,embed_code
0,TRFNDHN128F426BE40,The Wolves,Bon Iver,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3TO6wG55HdfwC8zfOaXAlJ?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRPFYYL128F92F7144,Float On,Modest Mouse,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2lwwrWVKdf3LR9lbbhnr6R?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRFWGOJ128E0780C8B,In My Place,Coldplay,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2nvC4i2aMo4CzRjRflysah?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRGVSMR128F42B58E7,New Born,Muse,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2VrJMuLt2m9HbifGrKWHqk?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRRWTFF128F932B707,Unintended,Muse,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6kyxQuFD38mo4S3urD2Wkw?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRILQPW128F92E2887,Waking the Demon,Bullet for My Valentine,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0k6wiMT26Wc3K4B2IiloUw?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRMJSHT128F422A802,Come Clarity,In Flames,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2z5lSCbzVRMrBpc8jJFSAZ?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRUCHHA128EF3435EA,Feeling This,blink-182,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/26AYR77170U49cMcXB7aRV?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRZGABY128F1462E00,Ocean Avenue,Yellowcard,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/23oxJmDc1V9uLUSmN2LIvx?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRZFXSA128F93073BE,The Unforgiven III,Metallica,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0qbV4e18lWrTTxlswVoLbI?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRGCHLH12903CB7352,Party In The U.S.A.,miley cyrus,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3E7dfMvvCLUddWissuqMwr?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRUFTBY128F93450B8,Alejandro,Lady Gaga,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1HHeOs6zRdF8Ck58easiAY?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRSUSWW128F93463BF,Imma Be,Black Eyed Peas,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/16sbugRbf9xEKlekuQ7Whm?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRRVJCK12903CD2DCB,U Smile,Justin Bieber,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6Xw2FLih8m5ItDbyP992HH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRBNYBX128F422EC61,Hey There Delilah,Plain White T's,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4RCWB3V8V0dignt99LZ8vH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
